sentence,label,etiket_turu
Büyük ABD para merkezi ticari bankalarındaki kurumsal kredilere yönelik baz oran.,0,Random
Elindeki torbayı çöp kutusuna attı.,0,NLVC
Orada altı aylık ihraçlardaki ortalama verim % 8.32.,0,Random
Arkadaşlarına kalemlerini gösterdi.,0,NLVC
Oynadığına inancı tam ve mükemmel şekilde oynuyor.,0,Random
Yapılan araştırma için öğrencilere yeni görevler verildi.,1,LVC
Yaptığı hatadan sonra herkesin gözünden düştü.,1,LVC
Hatasını biraz geç olsada telafi etti.,0,NLVC
Havasız kalan odayı havalandırmak için camı açtı.,0,NLVC
Dün bakkaldan 3 ekmek aldım.,0,NLVC
Bu haberden sonra onun hayallerine darbe yapıldı.,1,LVC
Onunla beraber arkamdan iş çevirdi.,1,LVC
İngilizce konuşmayan bir pilotla.,0,Random
Kitapları rafa düzenli bir şekilde koydu.,0,NLVC
Kimse defterlerinde stok istemiyor.,0,Random
Bu davranışıyla herkese karşı tavır koydu.,1,LVC
"Bağırarak, sana gününü göstereceğim dedi.",1,LVC
Ahmet bütün gece arabasını sürdü.,0,NLVC
ANA FAİZ ORANI : % 10 1\/2.,0,Random
Genel bir sorundan söz etmek gerekir.,1,LVC
O komşusuna büyük bir iyilik etti.,0,NLVC
"Bach'ın "" Air "" adlı parçasını izledi.",0,Random
Doktorlar bu hastalığa çare bulamadı.,1,LVC
Ve daha yavaş fastball bekleyin.,0,Random
Acıkınca buzdolabındaki soğuk yemekleri yedi.,0,NLVC
Serpil teyzenin oğlu sonunda mezun oldu.,1,LVC
Hafta sonu tatilinin tadını çıkardı.,1,LVC
Mitsubishi Estate gün sonunda 150 puan yükselişle 2680'den kapandı.,0,Random
Tartışma uzayınca konuyu kapattı.,1,LVC
Dışarı çıktı ve derin bir nefes aldı.,0,NLVC
Altın hissenin süresinin başında sona ermesi planlandı.,0,Random
Teneffüslerde genelde sınıfta kalırdı.,0,NLVC
Maksimum hızı 72 mil/saat.,0,Random
Bu haftasonu birlikte pasta yaptık.,0,NLVC
Mavi takım halat yarışında kırmızı takımı kendi tarafına çekti.,0,NLVC
Menkul kıymetler borsası teminatlarında borsacılara kredi komisyonu.,0,Random
Kaynak : Telerate Systems Inc.,0,Random
Ve sizin pilotunuz da yapamaz.,0,Random
Duyduklarından sonra b planı devreye girdi.,1,LVC
"Berthold'un merkezi Wildbad , Batı Almanya'dadır ve Belçika'da da faaliyet göstermektedir.",1,LVC
Hasta olduğu için okuldan izin aldı.,1,LVC
Denedim.,0,Random
Top oynarken komşunun camını kırdı.,0,NLVC
Hala tepeden bakmayın diyorum.,0,Random
Her şeye rağmen istifa etmeye karar verdi.,1,LVC
Kedisi bahçedeki fareyi yakaladı.,0,NLVC
En azından yükselirken değil.,0,Random
Peki sırada ne var?,0,Random
Dün öğretmenin dediklerini duydum.,0,NLVC
Misafirler akşam yemeği için bize geldi.,0,NLVC
Cebinden anahtarlarını çıkardı.,0,NLVC
Tanıdık birisini takip etme yoluyla karanlıkta yardımcı silahla darbe vurarak parasını ve en değerli eşyalarını gasp etmek.,1,LVC
Martı New York piyasasına girdi.,1,LVC
Şirketin bu yatırımdan büyük zarar gördü.,1,LVC
